# HELLGATE Spawn Configuration for Hidden Forest Area (ForestOfRequiem)
# Format: X,Y,EnemyType,Count or RANDOM,chance,X,Y,EnemyType,Count or POOL[Type1,Type2,...]
# Converted from Newspawnhidden Forest area.txt
#
# Groups 1-5: POOL with mixed human types
# Group 6: 6× RANDOM 50% CrowInquisition between groups
# Points 124-161: 4 POOL groups + 3 RANDOM 50% between

# ========== Undead — Points 1-12 ==========
1034.46,-291.49,Undead,1
1037.24,-291.49,Undead,1
1042.30,-291.49,Undead,1
1045.51,-291.32,Undead,1
1049.12,-291.07,MummyMan,1
1058.43,-290.45,MummyDog,1
1063.89,-290.08,Undead,1
1070.94,-289.61,MummyDog,1
1077.15,-289.47,Undead,1
1083.59,-289.47,Undead,1
1088.46,-289.47,MummyDog,1
1093.29,-289.47,Undead,1

# ========== Undead — Points 13-26 ==========
1096.03,-282.50,Undead,1
1098.59,-282.50,Undead,1
1098.97,-282.50,MummyDog,1
1117.06,-289.34,Undead,1
1113.02,-289.47,Undead,1
1125.27,-288.78,Undead,1
1129.83,-288.46,MummyDog,1
1135.40,-288.07,Undead,1
1137.47,-287.93,MummyDog,1
1143.87,-287.49,Undead,1
1149.18,-287.15,Undead,1
1155.72,-286.78,Undead,1
1160.83,-286.35,Undead,1
1168.57,-285.69,MummyDog,1

# ========== Pilgrim — Points 27-28 ==========
1178.99,-277.72,Pilgrim,1
1186.70,-279.23,Wolf,1

# ========== Undead — Points 29-34 ==========
1193.28,-279.23,Undead,1
1197.70,-285.69,Undead,1
1172.50,-285.69,MummyDog,1
1177.55,-285.69,Undead,1
1182.33,-285.69,MummyDog,1
1187.15,-285.69,Undead,1

# ========== Pilgrim — Points 35-36 ==========
1191.74,-285.69,Pilgrim,1
1197.40,-285.69,Pilgrim,1

# ========== Undead — Points 37-41 ==========
1200.50,-285.69,Undead,1
1179.25,-270.71,MummyDog,1
1190.48,-270.10,MummyDog,1
1181.40,-270.71,Undead,1
1180.89,-285.69,Undead,1

# ========== Group 1: Librarian/Pilgrim — Points 42-43 ==========
1220.70,-287.76,Librarian,1
1323.65,-296.71,Pilgrim,1

# ========== RANDOM 50% CrowInquisition (1 of 6) ==========
RANDOM,0.5,1312.19,-296.71,CrowInquisition,1

# ========== Group 2: Librarian/Pilgrim — Points 53-54 ==========
1304.08,-295.33,Librarian,1
1293.93,-295.33,Pilgrim,1

# ========== RANDOM 50% CrowInquisition (2 of 6) ==========
RANDOM,0.5,1260.20,-292.58,CrowInquisition,1

# ========== Group 3: Librarian/Pilgrim — Points 63-64 ==========
1254.85,-292.58,Librarian,1
1318.72,-296.71,Wolf,1

# ========== RANDOM 50% CrowInquisition (3 of 6) ==========
RANDOM,0.5,1312.35,-288.14,CrowInquisition,1

# ========== Group 4: Librarian/Pilgrim — Points 73-74 ==========
1310.38,-288.14,Librarian,1
1303.73,-263.53,Pilgrim,1

# ========== RANDOM 50% CrowInquisition (4 of 6) ==========
RANDOM,0.5,1301.02,-263.53,CrowInquisition,1

# ========== Group 5: Librarian/Pilgrim — Points 83-84 ==========
1298.70,-263.53,Librarian,1
1364.80,-253.28,Pilgrim,1

# ========== RANDOM 50% CrowInquisition (5 of 6) ==========
RANDOM,0.5,1345.06,-256.27,CrowInquisition,1

# ========== Group 5 continued — Points 93-94 ==========
1340.73,-256.27,Librarian,1
1222.81,-299.46,Pilgrim,1

# ========== RANDOM 50% CrowInquisition (6 of 6) ==========
RANDOM,0.5,1233.86,-303.56,CrowInquisition,1

# ========== Undead — Points 102-123 ==========
1269.19,-284.38,Undead,1
1274.77,-283.43,Undead,1
1280.63,-283.34,Undead,1
1392.95,-279.16,MummyDog,1
1388.14,-279.16,MummyMan,1
1386.65,-279.16,Undead,1
1384.44,-279.16,Undead,1
1378.77,-279.16,Undead,1
1376.20,-279.16,MummyDog,1
1370.30,-279.16,Undead,1
